Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount(million),Volume(shares)
NDX.GI,NASDAQ100,1998-08-18,1367.79,1405.88,1367.79,1401.24,0.0245,0,230116500
NDX.GI,NASDAQ100,1998-08-19,1401.24,1421.4,1396.36,1398.26,-0.0021,0,233106700
NDX.GI,NASDAQ100,1998-08-20,1398.26,1404.79,1385.51,1398.2,0,0,201748700
NDX.GI,NASDAQ100,1998-08-21,1398.2,1398.2,1343.45,1374.77,-0.0168,0,280828400
NDX.GI,NASDAQ100,1998-08-24,1374.77,1392.38,1366.52,1370.92,-0.0028,0,173934700
NDX.GI,NASDAQ100,1998-08-25,1370.92,1398.77,1370.92,1388.35,0.0127,0,183787700
NDX.GI,NASDAQ100,1998-08-26,1388.35,1388.35,1360.82,1374.05,-0.0103,0,180831800
NDX.GI,NASDAQ100,1998-08-27,1374.05,1374.05,1301.58,1312.28,-0.045,0,290714000
NDX.GI,NASDAQ100,1998-08-28,1312.28,1320.26,1249.49,1265.04,-0.036,0,298634100
NDX.GI,NASDAQ100,1998-08-31,1265.04,1278.82,1140.03,1140.34,-0.0986,0,341836400
NDX.GI,NASDAQ100,1998-09-01,1140.34,1220.04,1118.12,1215.06,0.0655,0,438910600
NDX.GI,NASDAQ100,1998-09-02,1215.06,1257.08,1214.54,1221.44,0.0053,0,304611500
NDX.GI,NASDAQ100,1998-09-03,1221.44,1230.14,1186.38,1208.96,-0.0102,0,250645100
NDX.GI,NASDAQ100,1998-09-04,1208.96,1231.41,1181.52,1205.41,-0.0029,0,183492300
NDX.GI,NASDAQ100,1998-09-08,1205.41,1286.69,1205.41,1286.47,0.0672,0,262802200
NDX.GI,NASDAQ100,1998-09-09,1286.47,1299.5,1261.76,1261.77,-0.0192,0,250527400
NDX.GI,NASDAQ100,1998-09-10,1261.77,1261.77,1215.36,1235.37,-0.0209,0,270835200
NDX.GI,NASDAQ100,1998-09-11,1235.37,1290.35,1235.37,1290.2,0.0444,0,249920400
NDX.GI,NASDAQ100,1998-09-14,1290.2,1319.97,1290.2,1308.23,0.014,0,249308200
NDX.GI,NASDAQ100,1998-09-15,1308.23,1324.37,1295.48,1324.19,0.0122,0,244963200
NDX.GI,NASDAQ100,1998-09-16,1324.17,1336.52,1314.55,1331.45,0.0055,0,244687700
NDX.GI,NASDAQ100,1998-09-17,1331.45,1331.45,1283.08,1291.79,-0.0298,0,234603200
NDX.GI,NASDAQ100,1998-09-18,1291.79,1302.83,1285.58,1300.7,0.0069,0,204073800
NDX.GI,NASDAQ100,1998-09-21,1300.7,1327.7,1259.3,1327.7,0.0208,0,190082400
NDX.GI,NASDAQ100,1998-09-22,1327.7,1345.43,1325.75,1336.19,0.0064,0,245370500
NDX.GI,NASDAQ100,1998-09-23,1336.19,1394.65,1336.19,1394.65,0.0438,0,319480100
NDX.GI,NASDAQ100,1998-09-24,1394.65,1402.75,1347.9,1356.46,-0.0274,0,282018700
NDX.GI,NASDAQ100,1998-09-25,1356.46,1390.31,1339.07,1390.09,0.0248,0,242296700
NDX.GI,NASDAQ100,1998-09-28,1390.09,1413.16,1367.74,1383.25,-0.0049,0,215395200
NDX.GI,NASDAQ100,1998-09-29,1383.3,1400.39,1369.04,1384.89,0.0012,0,252142100
NDX.GI,NASDAQ100,1998-09-30,1384.44,1384.44,1343.6,1345.48,-0.0285,0,275614700
NDX.GI,NASDAQ100,1998-10-01,1345.48,1345.48,1266.38,1273.74,-0.0533,0,335535600
NDX.GI,NASDAQ100,1998-10-02,1273.74,1285.69,1228.7,1276.44,0.0021,0,345510500
