Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount,Volume
NDX.GI,纳斯达克100,2025-06-23 15:00,21805.57,21815.76,21803.76,21812.74,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 15:05,21826.71,21845.29,21825.98,21829.66,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 15:10,21830.19,21833.45,21820.85,21821.11,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 15:15,21822.25,21833.74,21820.4,21825.67,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 15:20,21825.66,21826.51,21808.51,21808.53,-0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 15:25,21808.72,21824.12,21806.25,21823.59,0.0007,0,0
NDX.GI,纳斯达克100,2025-06-23 15:30,21827.52,21838.12,21827.06,21829.84,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 15:35,21829.9,21836.06,21826.51,21831.75,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-23 15:40,21831.82,21834.38,21823.15,21823.17,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 15:45,21822.83,21828.9,21813.19,21819.45,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 15:50,21819.07,21843.77,21817.57,21842.68,0.0011,0,0
NDX.GI,纳斯达克100,2025-06-23 15:55,21837.33,21865.27,21832.79,21848.96,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 16:00,21852.01,21870.62,21852.01,21856.33,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 09:30,22057.61,22061.93,22053.58,22060.08,0.0093,0,0
NDX.GI,纳斯达克100,2025-06-24 09:35,22059.6,22089.88,22045.63,22086.03,0.0012,0,0
NDX.GI,纳斯达克100,2025-06-24 09:40,22085.97,22092.92,22070.59,22086.3,0,0,0
NDX.GI,纳斯达克100,2025-06-24 09:45,22088.54,22106.32,22088.54,22103.75,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-24 09:50,22104.55,22117.9,22086.78,22087.31,-0.0007,0,0
NDX.GI,纳斯达克100,2025-06-24 09:55,22085.08,22090.31,22070.56,22082.74,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 10:00,22084.47,22091.24,22063.17,22078.65,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 10:05,22089.26,22091.12,22069.21,22088.8,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-24 10:10,22088.13,22090.77,22049.64,22066.13,-0.001,0,0
NDX.GI,纳斯达克100,2025-06-24 10:15,22065.9,22086.91,22062.02,22086.12,0.0009,0,0
NDX.GI,纳斯达克100,2025-06-24 10:20,22086.46,22100.49,22079.54,22090.77,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 10:25,22092.78,22100.86,22090,22100.5,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 10:30,22100.21,22100.87,22083.65,22092.5,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 10:35,22093.13,22110.34,22093.13,22107.61,0.0007,0,0
NDX.GI,纳斯达克100,2025-06-24 10:40,22107.4,22108.76,22096.34,22105.82,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 10:45,22107.4,22121.72,22107.28,22117.19,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-24 10:50,22116.83,22121.79,22104.51,22104.51,-0.0006,0,0
NDX.GI,纳斯达克100,2025-06-24 10:55,22104.36,22116.32,22103.56,22112.84,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 11:00,22112.96,22113.43,22085.03,22111.97,0,0,0
NDX.GI,纳斯达克100,2025-06-24 11:05,22113.01,22128.44,22110.23,22122.32,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-24 11:10,22122.17,22133.1,22119.31,22126.61,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 11:15,22127.56,22136.94,22127.56,22136.08,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 11:20,22135.57,22136.41,22129.53,22132.83,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 11:25,22132.84,22148.36,22132.79,22144.13,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-24 11:30,22146.27,22153.35,22142.99,22148.74,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 11:35,22148.5,22152.09,22142.69,22151.37,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 11:40,22151.39,22161.3,22151.26,22161.01,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 11:45,22161.3,22161.41,22147.92,22159.59,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 11:50,22160.14,22163.61,22155.76,22160.91,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 11:55,22161.11,22161.37,22145.88,22151.17,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 12:00,22151.8,22153.34,22140.02,22143.49,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 12:05,22139.57,22155.05,22139.44,22152.69,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 12:10,22154.55,22157.79,22147.52,22149.98,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 12:15,22151.55,22154.87,22147.49,22152.46,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 12:20,22156.47,22160.48,22154.16,22155.03,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 12:25,22151.6,22164.44,22151.33,22162.44,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 12:30,22162.71,22174.47,22162.13,22171.76,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 12:35,22172.18,22175.7,22171.28,22175.27,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 12:40,22176.95,22183.66,22175.43,22182.81,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 12:45,22182.95,22196.2,22182.92,22193.66,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-24 12:50,22192.45,22192.45,22174.71,22174.78,-0.0009,0,0
NDX.GI,纳斯达克100,2025-06-24 12:55,22175.12,22180.11,22175.12,22178.36,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 13:00,22177.1,22179.59,22165.17,22179.28,0,0,0
NDX.GI,纳斯达克100,2025-06-24 13:05,22179.75,22189,22179.75,22185.16,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 13:10,22184.87,22184.94,22173.2,22177.1,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 13:15,22177.59,22184.72,22176.95,22182.46,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 13:20,22183.25,22190.98,22181.65,22183.38,0,0,0
NDX.GI,纳斯达克100,2025-06-24 13:25,22172.05,22172.36,22160.92,22163.35,-0.0009,0,0
