代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPX.GI,标普500,1928-11-08,22.39,22.39,22.39,22.39,-0.0049,0,0
SPX.GI,标普500,1928-11-09,22.55,22.55,22.55,22.55,0.0071,0,0
SPX.GI,标普500,1928-11-12,22.84,22.84,22.84,22.84,0.0129,0,0
SPX.GI,标普500,1928-11-13,22.91,22.91,22.91,22.91,0.0031,0,0
SPX.GI,标普500,1928-11-14,22.91,22.91,22.91,22.91,0,0,0
SPX.GI,标普500,1928-11-15,23.03,23.03,23.03,23.03,0.0052,0,0
SPX.GI,标普500,1928-11-16,23.37,23.37,23.37,23.37,0.0148,0,0
SPX.GI,标普500,1928-11-19,23.37,23.37,23.37,23.37,0,0,0
SPX.GI,标普500,1928-11-20,23.57,23.57,23.57,23.57,0.0086,0,0
SPX.GI,标普500,1928-11-21,23.22,23.22,23.22,23.22,-0.0148,0,0
SPX.GI,标普500,1928-11-22,23.52,23.52,23.52,23.52,0.0129,0,0
SPX.GI,标普500,1928-11-23,23.7,23.7,23.7,23.7,0.0077,0,0
SPX.GI,标普500,1928-11-26,23.8,23.8,23.8,23.8,0.0042,0,0
SPX.GI,标普500,1928-11-27,23.91,23.91,23.91,23.91,0.0046,0,0
SPX.GI,标普500,1928-11-28,24.19,24.19,24.19,24.19,0.0117,0,0
SPX.GI,标普500,1928-11-30,24.28,24.28,24.28,24.28,0.0037,0,0
SPX.GI,标普500,1928-12-03,23.85,23.85,23.85,23.85,-0.0177,0,0
SPX.GI,标普500,1928-12-04,23.91,23.91,23.91,23.91,0.0025,0,0
SPX.GI,标普500,1928-12-05,23.81,23.81,23.81,23.81,-0.0042,0,0
SPX.GI,标普500,1928-12-06,22.91,22.91,22.91,22.91,-0.0378,0,0
SPX.GI,标普500,1928-12-07,22.36,22.36,22.36,22.36,-0.024,0,0
SPX.GI,标普500,1928-12-10,22.31,22.31,22.31,22.31,-0.0022,0,0
SPX.GI,标普500,1928-12-11,22.74,22.74,22.74,22.74,0.0193,0,0
SPX.GI,标普500,1928-12-12,22.52,22.52,22.52,22.52,-0.0097,0,0
SPX.GI,标普500,1928-12-13,22.48,22.48,22.48,22.48,-0.0018,0,0
SPX.GI,标普500,1928-12-14,22.53,22.53,22.53,22.53,0.0022,0,0
SPX.GI,标普500,1928-12-17,22.44,22.44,22.44,22.44,-0.004,0,0
SPX.GI,标普500,1928-12-18,22.7,22.7,22.7,22.7,0.0116,0,0
SPX.GI,标普500,1928-12-19,22.98,22.98,22.98,22.98,0.0123,0,0
SPX.GI,标普500,1928-12-20,23.07,23.07,23.07,23.07,0.0039,0,0
SPX.GI,标普500,1928-12-21,23.33,23.33,23.33,23.33,0.0113,0,0
SPX.GI,标普500,1928-12-24,23.54,23.54,23.54,23.54,0.009,0,0
SPX.GI,标普500,1928-12-26,23.44,23.44,23.44,23.44,-0.0042,0,0
SPX.GI,标普500,1928-12-27,23.64,23.64,23.64,23.64,0.0085,0,0
SPX.GI,标普500,1928-12-28,23.98,23.98,23.98,23.98,0.0144,0,0
SPX.GI,标普500,1928-12-31,24.35,24.35,24.35,24.35,0.0154,0,0
SPX.GI,标普500,1929-01-02,24.81,24.81,24.81,24.81,0.0189,0,0
SPX.GI,标普500,1929-01-03,24.86,24.86,24.86,24.86,0.002,0,0
SPX.GI,标普500,1929-01-04,24.85,24.85,24.85,24.85,-0.0004,0,0
SPX.GI,标普500,1929-01-07,24.25,24.25,24.25,24.25,-0.0241,0,0
SPX.GI,标普500,1929-01-08,24.17,24.17,24.17,24.17,-0.0033,0,0
SPX.GI,标普500,1929-01-09,24.54,24.54,24.54,24.54,0.0153,0,0
SPX.GI,标普500,1929-01-10,24.58,24.58,24.58,24.58,0.0016,0,0
SPX.GI,标普500,1929-01-11,24.54,24.54,24.54,24.54,-0.0016,0,0
SPX.GI,标普500,1929-01-14,24.59,24.59,24.59,24.59,0.002,0,0
SPX.GI,标普500,1929-01-15,24.23,24.23,24.23,24.23,-0.0146,0,0
SPX.GI,标普500,1929-01-16,24.56,24.56,24.56,24.56,0.0136,0,0
SPX.GI,标普500,1929-01-17,24.69,24.69,24.69,24.69,0.0053,0,0
SPX.GI,标普500,1929-01-18,24.77,24.77,24.77,24.77,0.0032,0,0
SPX.GI,标普500,1929-01-21,24.86,24.86,24.86,24.86,0.0036,0,0
SPX.GI,标普500,1929-01-22,25.07,25.07,25.07,25.07,0.0084,0,0
SPX.GI,标普500,1929-01-23,25.22,25.22,25.22,25.22,0.006,0,0
SPX.GI,标普500,1929-01-24,25.06,25.06,25.06,25.06,-0.0063,0,0
SPX.GI,标普500,1929-01-25,25.48,25.48,25.48,25.48,0.0168,0,0
SPX.GI,标普500,1929-01-28,25.35,25.35,25.35,25.35,-0.0051,0,0
SPX.GI,标普500,1929-01-29,25.36,25.36,25.36,25.36,0.0004,0,0
SPX.GI,标普500,1929-01-30,25.45,25.45,25.45,25.45,0.0035,0,0
SPX.GI,标普500,1929-01-31,25.74,25.74,25.74,25.74,0.0114,0,0
SPX.GI,标普500,1929-02-01,25.84,25.84,25.84,25.84,0.0039,0,0
SPX.GI,标普500,1929-02-04,25.64,25.64,25.64,25.64,-0.0077,0,0
SPX.GI,标普500,1929-02-05,25.7,25.7,25.7,25.7,0.0023,0,0
SPX.GI,标普500,1929-02-06,25.49,25.49,25.49,25.49,-0.0082,0,0
SPX.GI,标普500,1929-02-07,24.71,24.71,24.71,24.71,-0.0306,0,0
SPX.GI,标普500,1929-02-08,24.44,24.44,24.44,24.44,-0.0109,0,0
SPX.GI,标普500,1929-02-11,24.98,24.98,24.98,24.98,0.0221,0,0
SPX.GI,标普500,1929-02-13,24.95,24.95,24.95,24.95,-0.0012,0,0
SPX.GI,标普500,1929-02-14,24.85,24.85,24.85,24.85,-0.004,0,0
SPX.GI,标普500,1929-02-15,24.35,24.35,24.35,24.35,-0.0201,0,0
SPX.GI,标普500,1929-02-18,24.39,24.39,24.39,24.39,0.0016,0,0
SPX.GI,标普500,1929-02-19,24.38,24.38,24.38,24.38,-0.0004,0,0
SPX.GI,标普500,1929-02-20,24.59,24.59,24.59,24.59,0.0086,0,0
SPX.GI,标普500,1929-02-21,24.86,24.86,24.86,24.86,0.011,0,0
SPX.GI,标普500,1929-02-25,24.91,24.91,24.91,24.91,0.002,0,0
SPX.GI,标普500,1929-02-26,24.95,24.95,24.95,24.95,0.0016,0,0
SPX.GI,标普500,1929-02-27,25.25,25.25,25.25,25.25,0.012,0,0
SPX.GI,标普500,1929-02-28,25.59,25.59,25.59,25.59,0.0135,0,0
SPX.GI,标普500,1929-03-01,25.83,25.83,25.83,25.83,0.0094,0,0
SPX.GI,标普500,1929-03-04,25.49,25.49,25.49,25.49,-0.0132,0,0
SPX.GI,标普500,1929-03-05,25.32,25.32,25.32,25.32,-0.0067,0,0
SPX.GI,标普500,1929-03-06,24.92,24.92,24.92,24.92,-0.0158,0,0
SPX.GI,标普500,1929-03-07,25.15,25.15,25.15,25.15,0.0092,0,0
SPX.GI,标普500,1929-03-08,25.31,25.31,25.31,25.31,0.0064,0,0
SPX.GI,标普500,1929-03-11,24.95,24.95,24.95,24.95,-0.0142,0,0
SPX.GI,标普500,1929-03-12,24.97,24.97,24.97,24.97,0.0008,0,0
SPX.GI,标普500,1929-03-13,25.24,25.24,25.24,25.24,0.0108,0,0
SPX.GI,标普500,1929-03-14,25.73,25.73,25.73,25.73,0.0194,0,0
SPX.GI,标普500,1929-03-15,26.08,26.08,26.08,26.08,0.0136,0,0
SPX.GI,标普500,1929-03-18,26.04,26.04,26.04,26.04,-0.0015,0,0
SPX.GI,标普500,1929-03-19,26.03,26.03,26.03,26.03,-0.0004,0,0
SPX.GI,标普500,1929-03-20,26.02,26.02,26.02,26.02,-0.0004,0,0
SPX.GI,标普500,1929-03-21,25.9,25.9,25.9,25.9,-0.0046,0,0
SPX.GI,标普500,1929-03-22,25.55,25.55,25.55,25.55,-0.0135,0,0
SPX.GI,标普500,1929-03-25,24.51,24.51,24.51,24.51,-0.0407,0,0
SPX.GI,标普500,1929-03-26,24.35,24.35,24.35,24.35,-0.0065,0,0
SPX.GI,标普500,1929-03-27,25.09,25.09,25.09,25.09,0.0304,0,0
